cat,hemi,n_vox,n_pt,diff_mean,diff_sd,conc_top5,conc_top25,abs_max,peak_x,peak_y,peak_z
face,l,11340,13,-0.0802608592379444,0.134711202000152,0.13848707802734025,0.5107779623775476,0.5006142305926635,-44.0,-72.0,46.0
face,r,11540,12,-0.044171682344889114,0.1329783010764868,0.14962345969938873,0.5235271864021381,0.5034595823340249,14.0,-70.0,0.0
house,l,11340,13,-0.06890058777418284,0.15147982448667036,0.14591324298468192,0.5271745918107699,0.5300636578969629,-48.0,-70.0,42.0
house,r,11540,12,-0.035901567022720314,0.1432177838806335,0.14440814677687272,0.5050678242550654,0.5818941169009921,48.0,-82.0,-4.0
object,l,11340,13,-0.040148017609889224,0.13978551511523002,0.13654580016378615,0.5012186231198593,0.4634417777028885,-36.0,-88.0,-20.0
object,r,11540,12,-0.06967906488087906,0.13422075966491384,0.14847247679750689,0.5099752516108584,0.5498464658954425,40.0,-64.0,26.0
word,l,11340,13,-0.1174641090104654,0.14809562634739076,0.15776258899240564,0.5271922206446463,0.6983586296039492,-50.0,-72.0,38.0
word,r,11540,12,0.005400383814410724,0.12674278657953678,0.15035653803833104,0.5236982121060236,0.4534940392902507,20.0,-72.0,-6.0
