group,category,wta_pct
control,face,12.171052631578947
control,face,32.87904599659284
control,face,25.326797385620914
control,face,11.75257731958763
control,face,30.736842105263158
control,face,22.395833333333332
control,face,2.05607476635514
control,face,9.872611464968152
control,face,9.425287356321839
control,face,33.75
control,face,9.120521172638437
control,face,14.506769825918763
control,face,41.47909967845659
control,face,23.65988909426987
control,face,4.798464491362764
control,face,13.584905660377359
control,face,20.450606585788563
control,face,4.670329670329671
control,face,23.11320754716981
control,face,15.068493150684931
control,face,28.698752228163993
control,face,25.21150592216582
control,face,11.564625850340136
control,face,3.883495145631068
control,face,13.298791018998273
control,face,10.070671378091873
control,face,22.63056092843327
control,face,32.1656050955414
control,face,18.901453957996768
control,face,12.6232741617357
control,face,24.324324324324323
control,face,31.738437001594896
control,face,4.368174726989079
control,face,7.575757575757576
control,face,20.03338898163606
control,face,1.4705882352941178
control,face,17.449664429530202
control,face,29.23076923076923
OTC,face,15.555555555555555
OTC,face,0.0
OTC,face,39.62264150943396
OTC,face,3.7735849056603774
OTC,face,0.0
OTC,face,8.16326530612245
OTC,face,12.762520193861066
OTC,face,4.444444444444445
OTC,face,24.137931034482758
OTC,face,100.0
OTC,face,0.0
control,house,22.20394736842105
control,house,6.6439522998296425
control,house,12.254901960784315
control,house,12.164948453608247
control,house,16.0
control,house,2.2569444444444446
control,house,8.598130841121495
control,house,7.006369426751593
control,house,16.32183908045977
control,house,16.458333333333332
control,house,34.85342019543974
control,house,18.568665377176014
control,house,44.051446945337624
control,house,3.3271719038817005
control,house,32.05374280230326
control,house,36.79245283018868
control,house,10.225303292894282
control,house,12.362637362637363
control,house,1.650943396226415
control,house,20.54794520547945
control,house,6.951871657754011
control,house,16.751269035532996
control,house,4.931972789115647
control,house,1.941747572815534
control,house,29.015544041450777
control,house,10.60070671378092
control,house,9.284332688588007
control,house,7.961783439490445
control,house,16.15508885298869
control,house,27.218934911242602
control,house,21.62162162162162
control,house,20.414673046251995
control,house,3.1201248049921997
control,house,6.818181818181818
control,house,35.058430717863104
control,house,16.42156862745098
control,house,36.91275167785235
control,house,16.0
OTC,house,0.0
OTC,house,0.0
OTC,house,15.80188679245283
OTC,house,33.9622641509434
OTC,house,14.117647058823529
OTC,house,44.526901669758814
OTC,house,15.024232633279484
OTC,house,2.2222222222222223
OTC,house,0.0
OTC,house,0.0
OTC,house,0.0
control,object,36.67763157894737
control,object,45.14480408858603
control,object,34.150326797385624
control,object,56.90721649484536
control,object,40.63157894736842
control,object,72.22222222222223
control,object,82.61682242990655
control,object,83.12101910828025
control,object,71.95402298850574
control,object,49.166666666666664
control,object,55.700325732899024
control,object,39.65183752417795
control,object,14.14790996784566
control,object,63.40110905730129
control,object,40.69097888675624
control,object,40.56603773584906
control,object,63.4315424610052
control,object,76.37362637362638
control,object,47.87735849056604
control,object,56.75146771037182
control,object,63.101604278074866
control,object,56.175972927241965
control,object,83.33333333333333
control,object,83.1715210355987
control,object,56.994818652849744
control,object,73.32155477031802
control,object,44.680851063829785
control,object,59.87261146496815
control,object,33.2794830371567
control,object,51.87376725838264
control,object,54.054054054054056
control,object,22.647527910685806
control,object,69.11076443057722
control,object,58.52272727272727
control,object,42.904841402337226
control,object,63.23529411764706
control,object,32.718120805369125
control,object,49.84615384615385
OTC,object,48.888888888888886
OTC,object,99.5575221238938
OTC,object,44.575471698113205
OTC,object,33.9622641509434
OTC,object,0.0
OTC,object,45.45454545454545
OTC,object,63.65105008077544
OTC,object,44.44444444444444
OTC,object,48.275862068965516
OTC,object,0.0
OTC,object,0.0
control,word,28.94736842105263
control,word,15.332197614991482
control,word,28.26797385620915
control,word,19.175257731958762
control,word,12.631578947368421
control,word,3.125
control,word,6.728971962616822
control,word,0.0
control,word,2.2988505747126435
control,word,0.625
control,word,0.3257328990228013
control,word,27.272727272727273
control,word,0.3215434083601286
control,word,9.611829944547136
control,word,22.456813819577736
control,word,9.056603773584905
control,word,5.892547660311958
control,word,6.593406593406593
control,word,27.358490566037737
control,word,7.632093933463796
control,word,1.2477718360071302
control,word,1.8612521150592216
control,word,0.17006802721088435
control,word,11.003236245954692
control,word,0.690846286701209
control,word,6.007067137809187
control,word,23.404255319148938
control,word,0.0
control,word,31.663974151857836
control,word,8.284023668639053
control,word,0.0
control,word,25.199362041467303
control,word,23.400936037441497
control,word,27.083333333333332
control,word,2.003338898163606
control,word,18.872549019607842
control,word,12.919463087248323
control,word,4.923076923076923
OTC,word,35.55555555555556
OTC,word,0.4424778761061947
OTC,word,0.0
OTC,word,28.30188679245283
OTC,word,85.88235294117646
OTC,word,1.8552875695732838
OTC,word,8.562197092084006
OTC,word,48.888888888888886
OTC,word,27.586206896551722
OTC,word,0.0
OTC,word,100.0
