test,measure,comparison,comparison_name,spec,estimate,stat,df,p,n_group_a,n_group_b,age_beta,age_p,surg_beta,surg_p,converged,age_cap,roi_set
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,0.1061377068045899,,,0.354129174165167,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,-0.0852314798567189,,,0.4405118976204759,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,-0.0459872764796304,,,0.6356728654269146,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,0.1173757039032953,,,0.8234353129374126,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,0.0827045872518163,,,0.8660267946410718,35,12,,,,,,23.0,primary_strict
lmm,geometry,1,A = LH ctrl        B = LH-intact pt,omnibus  category x group,,7.926003398076819,5,0.1603611526389943,35,12,0.001419004748724,0.8408673916653533,,,True,23.0,
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,-0.136193355825492,,,0.160367926414717,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,-0.4984078549934013,,,0.0015996800639872,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,-0.0782764305020717,,,0.2655468906218756,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,-1.5435163737849509,,,0.0073985202959408,35,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,-1.5048659909846651,,,0.0061987602479504,35,12,,,,,,23.0,primary_strict
lmm,geometry,2,A = RH ctrl        B = RH-intact pt,omnibus  category x group,,21.80526749197593,5,0.0005701570232755,35,12,-0.0074635223273217,0.3273773873402312,,,True,23.0,
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,0.0038625865895454,,,0.9712057588482303,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,0.0603858833656912,,,0.7020595880823836,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,binC  word+face+house | object,0.1519636734927474,,,0.2705458908218356,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>1.96,0.1523636933928452,,,0.8030393921215757,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>2.33,0.135636790649105,,,0.8170365926814637,12,12,,,,,,23.0,primary_strict
lmm,geometry,3,A = LH-intact pt   B = RH-intact pt,omnibus  category x group,,2.071989610861978,5,0.8390969279226344,12,12,-0.011024560007605,0.3556590768501492,-0.0645725664653742,0.4140003245130482,True,23.0,
