subject_id,session,hemi,roi,contrast_cat,volume,n_searchmask
sub-004,01,l,evc,object,369.0,8510
sub-004,01,l,evc,word,0.0,8510
sub-004,02,l,face_FFA,face,929.0,10614
sub-004,02,l,face_FFA,house,265.0,10614
sub-004,02,l,face_FFA,object,2533.0,10614
sub-004,02,l,face_FFA,word,98.0,10614
sub-004,02,l,face_STS,face,218.0,11745
sub-004,02,l,face_STS,house,56.0,11745
sub-004,02,l,face_STS,object,1547.0,11745
sub-004,02,l,face_STS,word,148.0,11745
sub-004,02,l,house_PPA,face,193.0,16838
sub-004,02,l,house_PPA,house,2173.0,16838
sub-004,02,l,house_PPA,object,3203.0,16838
sub-004,02,l,house_PPA,word,102.0,16838
sub-004,02,l,house_TOS,face,322.0,44271
sub-004,02,l,house_TOS,house,718.0,44271
sub-004,02,l,house_TOS,object,9474.0,44271
sub-004,02,l,house_TOS,word,224.0,44271
sub-004,02,l,object_pF,face,249.0,4715
sub-004,02,l,object_pF,house,245.0,4715
sub-004,02,l,object_pF,object,2392.0,4715
sub-004,02,l,object_pF,word,86.0,4715
sub-004,02,l,object_LOC,face,322.0,44271
sub-004,02,l,object_LOC,house,718.0,44271
sub-004,02,l,object_LOC,object,9474.0,44271
sub-004,02,l,object_LOC,word,224.0,44271
sub-004,02,l,word_VWFA,face,929.0,10614
sub-004,02,l,word_VWFA,house,265.0,10614
sub-004,02,l,word_VWFA,object,2533.0,10614
sub-004,02,l,word_VWFA,word,98.0,10614
sub-004,02,l,word_STG,face,70.0,7736
sub-004,02,l,word_STG,house,49.0,7736
sub-004,02,l,word_STG,object,856.0,7736
sub-004,02,l,word_STG,word,60.0,7736
sub-004,02,l,word_pSTG_liu,face,9.0,6116
sub-004,02,l,word_pSTG_liu,house,49.0,6116
sub-004,02,l,word_pSTG_liu,object,662.0,6116
sub-004,02,l,word_pSTG_liu,word,60.0,6116
sub-004,02,l,word_IFG,face,12.0,8255
sub-004,02,l,word_IFG,house,238.0,8255
sub-004,02,l,word_IFG,object,740.0,8255
sub-004,02,l,word_IFG,word,0.0,8255
sub-004,02,l,evc,face,207.0,8510
sub-004,02,l,evc,house,644.0,8510
sub-004,02,l,evc,object,2371.0,8510
sub-004,02,l,evc,word,6.0,8510
sub-004,03,l,face_FFA,face,427.0,10614
sub-004,03,l,face_FFA,house,284.0,10614
sub-004,03,l,face_FFA,object,4039.0,10614
sub-004,03,l,face_FFA,word,46.0,10614
sub-004,03,l,face_STS,face,68.0,11745
sub-004,03,l,face_STS,house,31.0,11745
sub-004,03,l,face_STS,object,1259.0,11745
sub-004,03,l,face_STS,word,130.0,11745
sub-004,03,l,house_PPA,face,0.0,16838
sub-004,03,l,house_PPA,house,1993.0,16838
sub-004,03,l,house_PPA,object,1169.0,16838
sub-004,03,l,house_PPA,word,171.0,16838
sub-004,03,l,house_TOS,face,639.0,44271
sub-004,03,l,house_TOS,house,381.0,44271
sub-004,03,l,house_TOS,object,6028.0,44271
sub-004,03,l,house_TOS,word,244.0,44271
sub-004,03,l,object_pF,face,259.0,4715
sub-004,03,l,object_pF,house,283.0,4715
sub-004,03,l,object_pF,object,2195.0,4715
sub-004,03,l,object_pF,word,0.0,4715
sub-004,03,l,object_LOC,face,639.0,44271
sub-004,03,l,object_LOC,house,381.0,44271
sub-004,03,l,object_LOC,object,6028.0,44271
sub-004,03,l,object_LOC,word,244.0,44271
sub-004,03,l,word_VWFA,face,427.0,10614
sub-004,03,l,word_VWFA,house,284.0,10614
sub-004,03,l,word_VWFA,object,4039.0,10614
sub-004,03,l,word_VWFA,word,46.0,10614
sub-004,03,l,word_STG,face,0.0,7736
sub-004,03,l,word_STG,house,29.0,7736
sub-004,03,l,word_STG,object,329.0,7736
sub-004,03,l,word_STG,word,9.0,7736
sub-004,03,l,word_pSTG_liu,face,0.0,6116
sub-004,03,l,word_pSTG_liu,house,29.0,6116
sub-004,03,l,word_pSTG_liu,object,319.0,6116
sub-004,03,l,word_pSTG_liu,word,9.0,6116
sub-004,03,l,word_IFG,face,0.0,8255
sub-004,03,l,word_IFG,house,0.0,8255
sub-004,03,l,word_IFG,object,23.0,8255
sub-004,03,l,word_IFG,word,0.0,8255
sub-004,03,l,evc,face,53.0,8510
sub-004,03,l,evc,house,382.0,8510
sub-004,03,l,evc,object,78.0,8510
sub-004,03,l,evc,word,0.0,8510
sub-004,05,l,face_FFA,face,244.0,10614
sub-004,05,l,face_FFA,house,321.0,10614
sub-004,05,l,face_FFA,object,4336.0,10614
sub-004,05,l,face_FFA,word,17.0,10614
sub-004,05,l,face_STS,face,268.0,11745
sub-004,05,l,face_STS,house,11.0,11745
sub-004,05,l,face_STS,object,3565.0,11745
sub-004,05,l,face_STS,word,0.0,11745
sub-004,05,l,house_PPA,face,53.0,16838
sub-004,05,l,house_PPA,house,1348.0,16838
sub-004,05,l,house_PPA,object,2381.0,16838
sub-004,05,l,house_PPA,word,6.0,16838
sub-004,05,l,house_TOS,face,1897.0,44271
sub-004,05,l,house_TOS,house,792.0,44271
sub-004,05,l,house_TOS,object,12257.0,44271
sub-004,05,l,house_TOS,word,36.0,44271
sub-004,05,l,object_pF,face,35.0,4715
sub-004,05,l,object_pF,house,316.0,4715
sub-004,05,l,object_pF,object,2779.0,4715
sub-004,05,l,object_pF,word,15.0,4715
sub-004,05,l,object_LOC,face,1897.0,44271
sub-004,05,l,object_LOC,house,792.0,44271
sub-004,05,l,object_LOC,object,12257.0,44271
