measure,comparison,comparison_name,spec,beta,p,n_group_a,n_group_b,role,paired,age_cap,roi_set,drop_word
peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],"sign  LI toward lost side, thr-free",-1.4987729996915702,0.27914417116576684,36,12,supplemental,False,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binA  word+face | house+object,0.3601194556996168,0.2409518096380724,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binB  word | face+house+object,-0.47214368751502267,0.036192761447710456,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binC  word+face+house | object,0.5047970154946704,0.041991601679664065,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>1.96,0.49012403849041464,0.5206958608278345,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>2.33,0.38307580653084594,0.5776844631073785,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],rank  word>face>object=house,0.05318008945411101,0.4419116176764647,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],sign  LI toward lost side z>2.33,2.8848854819234773,0.003799240151969606,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],"sign  LI toward lost side, thr-free",2.4131925782258885,0.003799240151969606,36,36,supplemental,True,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,0.1804631798413157,0.10837832433513298,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,0.0160309936680538,0.9098180363927214,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,0.07421765584234222,0.6134773045390922,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,0.5705907059682698,0.3205358928214357,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,0.49979375781221574,0.3489302139572086,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,rank  word>face>object=house,0.06282622555844891,0.2455508898220356,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,sign  LI toward lost side z>2.33,0.10983547826895956,0.6952609478104379,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,"sign  LI toward lost side, thr-free",0.09555786139971792,0.6690661867626475,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,-0.17962161930400694,0.138372325534893,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,-0.24489805783376808,0.0647870425914817,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,-0.19514993437320424,0.21995600879824034,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,-1.093914124463666,0.06778644271145771,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,-1.0176188847642795,0.0661867626474705,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,rank  word>face>object=house,-0.10069021607363059,0.08118376324735053,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,sign  LI toward lost side z>2.33,-0.2884664462432269,0.2411517696460708,36,12,primary,False,23.0,primary_strict,False
distinctiveness,2,A = RH ctrl        B = RH-intact pt,"sign  LI toward lost side, thr-free",-0.21422237191032367,0.27494501099780044,36,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,-0.0624530706737616,0.6712657468506299,12,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,0.02751061124054699,0.8632273545290942,12,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,binC  word+face+house | object,0.01924868834600235,0.9244151169766047,12,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>1.96,-0.12100443899661084,0.8668266346730654,12,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>2.33,-0.10050971550795507,0.8824235152969406,12,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,rank  word>face>object=house,-0.016232588351162147,0.8182363527294542,12,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,sign  LI toward lost side z>2.33,0.07232605301959238,0.8490301939612077,12,12,primary,False,23.0,primary_strict,False
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,"sign  LI toward lost side, thr-free",0.05816553650597156,0.8508298340331933,12,12,primary,False,23.0,primary_strict,False
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],binA  word+face | house+object,-0.11716854863025197,0.34453109378124375,36,12,supplemental,False,23.0,primary_strict,False
