category,pair,ctrl_delta_M,ctrl_delta_SD,otc_delta_M,otc_delta_SD,otc_lresec,otc_rresec,p_otc_v_ctrl
evc,face-house,-0.033003317111151176,1.0162059556130965,-0.15208560059838017,0.9758944384649768,-0.2610260684165922,0.1747358028562559,0.8226
evc,face-object,0.04664457174732003,0.473569510525901,0.0884567758518463,1.0542326972193645,-0.22332341556703314,1.0237973501084847,0.9213
evc,face-word,0.06929173213858146,0.7278195935088281,0.41335191994399917,0.8024295855499277,0.23982069056216856,0.933945608089491,0.4264
evc,house-object,-0.14108068349457603,0.7791707907517759,-0.19338097956737,1.2664828828197123,-0.14149051682352418,-0.3490523677989075,0.9337
evc,house-word,-0.08405065257544511,0.47799572083241776,-0.007851807008201345,0.7385945028519644,-0.08646870358528176,0.22799888272303992,0.8273
evc,object-word,0.3263921881885735,0.6590117680406623,0.7515997854918457,0.9575133506514837,0.776065992703936,0.6782011638555749,0.3828
face,face-house,-0.02885824536177411,0.40036123149803443,-0.23905444933521594,0.7499324812751059,0.05578093384469862,-0.6813075241050878,0.5324
face,face-object,-0.1554508813123164,0.39144081872362413,-0.34086005886029147,0.5012092547472334,-0.03470366349588586,-0.8000946519068999,0.4344
face,face-word,-0.13946428187101712,0.6692295912544183,-0.06510578647502382,0.6022722805430184,0.07987976671162138,-0.28258411625499164,0.8157
face,house-object,-0.02484268047264952,0.4947480573219304,-0.2691206072271496,0.7908527832645874,0.09344708667297834,-0.8129721480773414,0.4922
face,house-word,-0.18250500467742078,0.46444461680601196,-0.009237796356514161,0.4862215777827127,0.051010798845018836,-0.09961068915881366,0.4805
face,object-word,-0.20754699625720718,0.7850287912084633,0.23700153113043151,0.1763099523676534,0.17692751478397314,0.3271125556501191,0.0817
face_FFA,face-house,0.21533159310754432,0.41008205988545676,-0.34358766528150775,0.6392550379626809,-0.1184410927324544,-0.6813075241050878,0.0416
face_FFA,face-object,0.10436296042428611,0.4589334823579555,-0.343659375610757,0.49849918091018036,-0.03936919141332847,-0.8000946519068999,0.0656
face_FFA,face-word,0.060140989935343975,0.6208655586069506,-0.14049524104664202,0.4982140810681543,-0.045769324241075604,-0.28258411625499164,0.4707
face_FFA,house-object,0.2638530261784523,0.4547137152320644,-0.45526165521550566,0.5940984418953598,-0.21678799330761503,-0.8129721480773414,0.0106
