category,hemi,direction,n_voxels,volume_mm3,pct_otc,peak_t,peak_x_mni,peak_y_mni,peak_z_mni,max_corrp
object,l,ctrl>pt,1229,9832,10.84,4.92,-54,-70,-4,0.9999
house,r,ctrl>pt,643,5144,5.57,3.52,32,-78,22,0.9951
word,r,pt>ctrl,552,4416,4.78,6.66,48,-64,-8,0.9969
