measure,parcel,hemi,dropped,p
distance,word_VWFA,l,sub-004,0.8169
distance,word_VWFA,l,sub-005,0.411
distance,word_VWFA,l,sub-008,0.947
distance,word_VWFA,l,sub-010,0.653
distance,word_VWFA,l,sub-021,0.6525
distance,word_VWFA,l,sub-039,0.4987
distance,word_VWFA,l,sub-044,0.6548
distance,word_VWFA,l,sub-066,0.6536
distance,word_VWFA,l,sub-069,0.6542
distance,word_VWFA,l,sub-074,0.6443
distance,word_VWFA,l,sub-075,0.9302
distance,word_VWFA,l,sub-076,0.6492
distance,word_VWFA,l,sub-077,0.5096
distance,word_VWFA,l,sub-078,0.652
distance,word_VWFA,l,sub-079,0.6479
distance,word_VWFA,l,sub-082,0.6516
distance,word_VWFA,l,sub-089,0.4084
distance,word_VWFA,l,sub-090,0.6504
distance,word_VWFA,l,sub-091,0.6509
distance,word_VWFA,l,sub-092,0.6531
distance,word_VWFA,l,sub-099,0.6423
distance,word_VWFA,l,sub-108,0.6532
distance,word_VWFA,r,sub-004,0.1006
distance,word_VWFA,r,sub-005,0.0954
distance,word_VWFA,r,sub-008,0.0943
distance,word_VWFA,r,sub-010,0.1656
distance,word_VWFA,r,sub-021,0.041
distance,word_VWFA,r,sub-039,0.0976
distance,word_VWFA,r,sub-044,0.1587
distance,word_VWFA,r,sub-066,0.0849
distance,word_VWFA,r,sub-069,0.1002
distance,word_VWFA,r,sub-074,0.1023
distance,word_VWFA,r,sub-075,0.1033
distance,word_VWFA,r,sub-076,0.095
distance,word_VWFA,r,sub-077,0.1022
distance,word_VWFA,r,sub-078,0.095
distance,word_VWFA,r,sub-079,0.1017
distance,word_VWFA,r,sub-082,0.1409
distance,word_VWFA,r,sub-089,0.0967
distance,word_VWFA,r,sub-090,0.1174
distance,word_VWFA,r,sub-091,0.101
distance,word_VWFA,r,sub-092,0.0746
distance,word_VWFA,r,sub-099,0.2766
distance,word_VWFA,r,sub-108,0.1092
sum_selectivity,face_FFA,l,sub-004,0.8684
sum_selectivity,face_FFA,l,sub-005,0.7891
sum_selectivity,face_FFA,l,sub-008,0.5707
sum_selectivity,face_FFA,l,sub-010,0.6989
sum_selectivity,face_FFA,l,sub-021,0.6958
sum_selectivity,face_FFA,l,sub-039,0.5071
sum_selectivity,face_FFA,l,sub-044,0.6906
sum_selectivity,face_FFA,l,sub-066,0.6853
sum_selectivity,face_FFA,l,sub-069,0.6975
sum_selectivity,face_FFA,l,sub-074,0.466
sum_selectivity,face_FFA,l,sub-075,0.5996
sum_selectivity,face_FFA,l,sub-076,0.6952
sum_selectivity,face_FFA,l,sub-077,0.8985
sum_selectivity,face_FFA,l,sub-078,0.6881
sum_selectivity,face_FFA,l,sub-079,0.8217
sum_selectivity,face_FFA,l,sub-082,0.6975
sum_selectivity,face_FFA,l,sub-089,0.646
sum_selectivity,face_FFA,l,sub-090,0.6981
sum_selectivity,face_FFA,l,sub-091,0.9227
sum_selectivity,face_FFA,l,sub-092,0.6826
sum_selectivity,face_FFA,l,sub-099,0.6928
sum_selectivity,face_FFA,l,sub-108,0.6997
sum_selectivity,face_FFA,r,sub-004,0.1808
sum_selectivity,face_FFA,r,sub-005,0.1802
sum_selectivity,face_FFA,r,sub-008,0.172
sum_selectivity,face_FFA,r,sub-010,0.1698
sum_selectivity,face_FFA,r,sub-021,0.2543
sum_selectivity,face_FFA,r,sub-039,0.1792
sum_selectivity,face_FFA,r,sub-044,0.2152
sum_selectivity,face_FFA,r,sub-066,0.1323
sum_selectivity,face_FFA,r,sub-069,0.0305
sum_selectivity,face_FFA,r,sub-074,0.1816
sum_selectivity,face_FFA,r,sub-075,0.1793
sum_selectivity,face_FFA,r,sub-076,0.3312
sum_selectivity,face_FFA,r,sub-077,0.1755
sum_selectivity,face_FFA,r,sub-078,0.1391
sum_selectivity,face_FFA,r,sub-079,0.1806
