measure,comparison,comparison_name,role,paired,roi,pair,diff,cohen_d,p,q_fdr,higher_group,n_a,n_b,age_cap,roi_set
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,,-0.03326861438262618,-0.07345883288180387,0.8249175082491751,0.8249175082491751,A,36,12,23.0,primary_strict
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,,-0.14637189663841968,-0.4694755140998559,0.1625837416258374,0.21677832216778323,A,36,12,23.0,primary_strict
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,,-0.1755791410912072,-0.5554000968479862,0.10028997100289971,0.20057994200579943,A,36,12,23.0,primary_strict
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,,-0.3633046085378525,-0.9458475079894592,0.006199380061993801,0.024797520247975203,A,36,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,,-0.20385170951488973,-0.46235121641118276,0.2722727727227277,0.3630303636303036,A,12,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,house_PPA_strict,,-0.11252560632212535,-0.272009257919225,0.5152484751524847,0.5152484751524847,A,12,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,face_FFA,,-0.27250122235955776,-0.8674251671419863,0.044295570442955706,0.17718228177182282,A,12,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,word_VWFA,,-0.16878223482497634,-0.4869520459634349,0.23947605239476052,0.3630303636303036,A,12,12,23.0,primary_strict
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,object_LOC,,0.17058309513226355,0.3657767104336423,0.27687231276872315,0.4931506849315068,B,36,12,23.0,primary_strict
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,house_PPA_strict,,-0.033846290316294325,-0.09393973770653728,0.7776222377762224,0.7776222377762224,A,36,12,23.0,primary_strict
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,face_FFA,,0.09692208126835056,0.3016737286996215,0.3698630136986301,0.4931506849315068,B,36,12,23.0,primary_strict
