
===== p_perm: 161 changed =====
           measure                           model        level         comparison hemi  p_perm_old  p_perm_new
wta_within_cluster                 cluster_house_r  object_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                 cluster_house_r    object_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                 cluster_house_r    word_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                 cluster_house_r      word_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l    face_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l      face_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l   house_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l     house_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l  object_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l    object_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l    word_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                cluster_object_l      word_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r    face_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r      face_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r   house_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r     house_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r  object_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r    object_pt        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r    word_ctrl        descriptive  NaN         NaN         NaN
wta_within_cluster                  cluster_word_r      word_pt        descriptive  NaN         NaN         NaN
          geometry   face_FFA_LH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry   face_FFA_LH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.748125    0.708229
          geometry   face_FFA_LH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.941506    0.769223
          geometry   face_FFA_LH-intact_pt_vs_ctrl    face-word patient_vs_control  NaN    0.066993    0.017698
          geometry   face_FFA_LH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.636436    0.580342
          geometry   face_FFA_LH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.677932    0.779722
          geometry   face_FFA_LH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.736526    0.946105
          geometry   face_FFA_RH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry   face_FFA_RH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.255874    0.390961
          geometry   face_FFA_RH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.713229    0.583842
          geometry   face_FFA_RH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.228377    0.290771
          geometry   face_FFA_RH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.442056    0.244276
          geometry   face_FFA_RH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.049095    0.025197
          geometry              face_FFA_ctrl_LvsR          ALL            omnibus  NaN         NaN         NaN
          geometry              face_FFA_ctrl_LvsR   face-house  control_asymmetry  NaN    0.875812    0.870813
          geometry              face_FFA_ctrl_LvsR  face-object  control_asymmetry  NaN    0.733127    0.730327
          geometry              face_FFA_ctrl_LvsR    face-word  control_asymmetry  NaN    0.000200    0.000100
          geometry              face_FFA_ctrl_LvsR house-object  control_asymmetry  NaN    0.244776    0.240776
          geometry              face_FFA_ctrl_LvsR   house-word  control_asymmetry  NaN    0.125587    0.133487
          geometry              face_FFA_ctrl_LvsR  object-word  control_asymmetry  NaN    0.002100    0.001100
          geometry  house_PPA_LH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry  house_PPA_LH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.236976    0.174283
          geometry  house_PPA_LH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.006099    0.010599
          geometry  house_PPA_LH-intact_pt_vs_ctrl    face-word patient_vs_control  NaN    0.441556    0.573543
          geometry  house_PPA_LH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.288871    0.246375
          geometry  house_PPA_LH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.199480    0.127787
          geometry  house_PPA_LH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.000500    0.001000
          geometry  house_PPA_RH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry  house_PPA_RH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.705129    0.614939
          geometry  house_PPA_RH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.827217    0.859614
          geometry  house_PPA_RH-intact_pt_vs_ctrl    face-word patient_vs_control  NaN    0.451555    0.507549
          geometry  house_PPA_RH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.147385    0.143586
