measure,scope,n_levels,n_patients,profile_stat,profile_p,ctrl_check_n,ctrl_check_stat,ctrl_check_p
peak selectivity,across the four cells,4,24,0.15095833920901722,0.691030896910309,72,1.201578545414767e-05,1.0
number of selective voxels,across the four cells,4,24,1.0018298756763828,0.13558644135586442,72,0.00020155429495851275,0.9998000199980002
overall separability,across the four cells,4,24,0.39737557844707283,0.5849415058494151,72,0.0001676678287457648,1.0
between-category similarity,word_VWFA,6,24,1.1171176101914961,0.06729327067293271,72,0.0002473100432640538,1.0
between-category similarity,face_FFA,6,24,5.240022643745508,9.999000099990002e-05,72,0.00017269920329422402,1.0
between-category similarity,house_PPA_strict,6,24,0.6807122437184586,0.49395060493950604,72,6.52293457173125e-05,1.0
between-category similarity,object_LOC,6,24,0.39031363453448964,0.5093490650934906,72,0.00023280262529955134,1.0
between-category similarity,POOLED (over cells),6,24,0.5827391088048864,0.0400959904009599,72,5.985586081455424e-05,1.0
