measure,comparison,comparison_name,spec,beta,p,n_group_a,n_group_b,role,paired,age_cap,roi_set,drop_word
peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],"sign  LI toward lost side, thr-free",-1.4987729996915702,0.276972302769723,36,12,supplemental,False,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binA  word+face | house+object,0.3601194556996168,0.24837516248375163,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binB  word | face+house+object,-0.47214368751502267,0.0385961403859614,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binC  word+face+house | object,0.5047970154946704,0.0463953604639536,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>1.96,0.49012403849041464,0.5302469753024698,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>2.33,0.38307580653084594,0.5888411158884111,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],rank  word>face>object=house,0.05318008945411101,0.4477552244775522,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],sign  LI toward lost side z>2.33,2.8848854819234773,0.004399560043995601,36,36,supplemental,True,23.0,primary_strict,False
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],"sign  LI toward lost side, thr-free",2.4131925782258885,0.0045995400459954,36,36,supplemental,True,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,0.1804631798413157,0.10838916108389161,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,0.0160309936680538,0.9099090090990901,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,0.07421765584234222,0.6038396160383962,36,12,primary,False,23.0,primary_strict,False
distinctiveness,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,0.5705907059682698,0.32556744325567444,36,12,primary,False,23.0,primary_strict,False
