measure,comparison,comparison_name,role,paired,roi,pair,diff,cohen_d,p,q_fdr,higher_group,n_a,n_b,age_cap,roi_set
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,,-0.07384549189216649,-0.16192111089344807,0.6342731453709258,0.6342731453709258,A,36,12,23.0,primary_strict
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,,-0.18913400218328724,-0.650696792354822,0.0595880823835233,0.0874491768313004,A,36,12,23.0,primary_strict
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,,-0.202739194794476,-0.6397452814989508,0.0655868826234753,0.0874491768313004,A,35,12,23.0,primary_strict
distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,,-0.36525480229938845,-0.9248892309807137,0.007798440311937612,0.03119376124775045,A,35,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,,-0.2157443152027918,-0.4954680137354422,0.2419516096780644,0.3226021462374192,A,12,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,house_PPA_strict,,-0.12815108625600205,-0.31217539397083566,0.45770845830833834,0.45770845830833834,A,12,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,face_FFA,,-0.27738334474403004,-0.8846128617022263,0.04059188162367527,0.16236752649470107,A,12,12,23.0,primary_strict
distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,word_VWFA,,-0.17827141369332977,-0.5159154900703568,0.22515496900619877,0.3226021462374192,A,12,12,23.0,primary_strict
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,object_LOC,,0.1418988233106253,0.30084648461920804,0.3707258548290342,0.5840831833633273,B,36,12,23.0,primary_strict
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,house_PPA_strict,,-0.060982915927285206,-0.17759575573188682,0.5840831833633273,0.5840831833633273,A,36,12,23.0,primary_strict
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,face_FFA,,0.07464414994955404,0.23196559314737067,0.4927014597080584,0.5840831833633273,B,35,12,23.0,primary_strict
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,word_VWFA,,-0.18698338860605868,-0.4765354650299012,0.16676664667066587,0.5840831833633273,A,35,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,object_LOC,,-0.23528587018285974,-0.6651201024283144,0.052189562087582485,0.20875824835032994,A,36,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,house_PPA_strict,,-0.1835246171663648,-0.5340891138295257,0.11457708458308338,0.22915416916616677,A,36,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,face_FFA,,-0.04480839807995074,-0.14606613423594061,0.6590681863627275,0.6590681863627275,A,36,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,word_VWFA,,-0.06823576375419482,-0.18895055272149844,0.585882823435313,0.6590681863627275,A,35,12,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,object_LOC,,-0.16144037829069366,-0.278468756397397,0.10597880423915217,0.14130507231886955,A,36,36,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,house_PPA_strict,,0.0056093850169224545,0.015389661515129001,0.9286142771445711,0.9286142771445711,B,36,36,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,face_FFA,,0.1715629084610269,0.4192899427027524,0.021795640871825634,0.04359128174365127,B,35,35,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,word_VWFA,,0.2970190385451935,0.6165165412724336,0.0015996800639872025,0.00639872025594881,B,35,35,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,OMNIBUS (6 pairs),0.07042773325857765,,0.6076784643071386,,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,face-house,0.21424602195109865,0.5194810563018732,0.13357328534293142,0.7884423115376925,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,face-object,-0.05131594701740516,-0.11097920848579186,0.7416516696660668,0.7884423115376925,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,face-word,0.09903217412750331,0.23843650890682563,0.4829034193161368,0.7884423115376925,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,house-object,-0.037682885976595415,-0.0899307162989901,0.7884423115376925,0.7884423115376925,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,house-word,0.07256597314444979,0.18736989447945218,0.5766846630673865,0.7884423115376925,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,object-word,0.07348371963957478,0.15229234610226167,0.6538692261547691,0.7884423115376925,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,OMNIBUS (6 pairs),0.11362171967619918,,0.4347130573885223,,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,face-house,0.01440861862245592,0.033508004953098657,0.9162167566486703,0.9422115576884623,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,face-object,0.1496050765890924,0.39405953705603786,0.24055188962207558,0.4811037792441512,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,face-word,0.22271116141438285,0.4835100674916081,0.16656668666266747,0.4811037792441512,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,house-object,-0.010689619878421375,-0.023621063133087664,0.9422115576884623,0.9422115576884623,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,house-word,-0.20088878366893537,-0.44529148415161474,0.1985602879424115,0.4811037792441512,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,object-word,0.031009670244793897,0.08574765577335366,0.8006398720255948,0.9422115576884623,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,OMNIBUS (6 pairs),0.21528823415865792,,0.1357728454309138,,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,face-house,0.11330401817548325,0.269141354403605,0.4217156568686263,0.5060587882423515,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,face-object,0.21398164511483742,0.6087111938290664,0.08338332333533294,0.2501499700059988,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,face-word,0.3301299304070138,0.9469225197313694,0.007998400319936013,0.04799040191961608,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,house-object,0.15193827034502916,0.3029792345488799,0.3593281343731254,0.5060587882423515,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,house-word,-0.15670454818866392,-0.3300136182971514,0.3251349730053989,0.5060587882423515,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,object-word,0.005913104844599504,0.01485069465455533,0.9676064787042592,0.9676064787042592,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,OMNIBUS (6 pairs),0.18974971587685024,,0.2903419316136773,,B,35,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,face-house,0.15156022907192035,0.3097836642301915,0.36472705458908217,0.5470905818836233,B,35,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,face-object,0.1801494682239254,0.4131575062406728,0.22515496900619877,0.45030993801239755,B,35,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,face-word,0.0847252146578521,0.2174077312293561,0.5276944611077784,0.5810837832433513,B,35,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,house-object,0.22698097805789608,0.41255779242678076,0.22395520895820836,0.45030993801239755,B,35,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,house-word,-0.09830893565318799,-0.1850662247745806,0.5810837832433513,0.5810837832433513,A,35,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,object-word,0.25683070048371026,0.4828762796276778,0.15996800639872025,0.45030993801239755,B,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,OMNIBUS (6 pairs),0.18026275114446308,,0.3015396920615877,,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,face-house,0.31303238366512176,0.8192744967344967,0.01779644071185763,0.10677864427114578,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,face-object,0.031131641379098074,0.06910602485304122,0.8354329134173165,0.9418116376724655,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,face-word,0.12943280935877954,0.2770451599457327,0.41351729654069186,0.8270345930813837,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,house-object,0.01246407524851234,0.022594635932787037,0.9418116376724655,0.9418116376724655,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,house-word,0.06372497537890509,0.13211299439049143,0.6950609878024395,0.9418116376724655,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,object-word,-0.24563228824625138,-0.42622714387384864,0.20775844831033793,0.6232753449310138,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,OMNIBUS (6 pairs),0.30553478817444873,,0.029994001199760048,,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,face-house,-0.24355329769937684,-0.6408972218547291,0.0639872025594881,0.1279744051189762,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,face-object,-0.04561283065116872,-0.10691197097950589,0.7430513897220556,0.7800439912017595,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,face-word,0.08363053842935197,0.20451754630073918,0.5256948610277944,0.7800439912017595,B,36,12,23.0,primary_strict
