measure,roi,lh_delta,rh_delta,diff,p_perm,n_LH,n_RH
sum_sel,face_FFA,-0.060278343202784086,-0.07591081857099659,-0.015632475368212502,0.9671,11,11
sum_sel,house_PPA,-0.10090964921873838,-0.12425677802346914,-0.023347128804730763,0.9097,11,11
sum_sel,object_LOC,-0.4272028850175744,-0.09958032097170078,0.32762256404587364,0.1769,11,11
sum_sel,word_VWFA,0.06983207170116286,0.02656367690684669,-0.04326839479431617,0.9069,10,10
distance_2d,face_FFA,0.8946556010842809,0.4569088993055823,-0.43774670177869857,0.8924,11,11
distance_2d,house_PPA,1.9556433675222686,3.7923447733914517,1.836701405869183,0.6868,11,11
distance_2d,object_LOC,-0.38576473482962775,2.628067818023968,3.0138325528535956,0.319,11,11
distance_2d,word_VWFA,3.8416974547376963,0.8654402270272578,-2.9762572277104384,0.5044,11,11
