subject_id,group,hemi,intact_hemi,n_vox,face-house,face-object,face-word,house-object,house-word,object-word,reliability,n_run
sub-001,control,l,both,11340,-0.3926826782485871,-0.5089703351302823,-0.0466644613279227,0.0530046896780618,-1.002237288924199,-0.0636495903486867,0.8000257453067708,6
sub-001,control,r,both,11540,-0.3007080306551808,-0.2339156940991182,-0.2118024506157301,-0.0072968320006293,-0.9176861034736644,-0.1017167505757091,0.8000257453067708,6
sub-004,OTC,l,left,11340,-0.6144046818766106,-0.2445668908748201,0.1768899889388901,-0.1000522881399062,-0.6761806924827266,-0.4074912212765569,,0
sub-005,OTC,l,left,11340,-0.5398404421285793,-0.4821966490010317,0.0787322171316103,-0.0954512007877865,-0.8685499010658397,0.0396423154718337,0.9098541263540785,5
sub-008,OTC,l,left,11340,-0.1823390831373136,0.0196600461930858,-0.4650689566234456,0.2023410900086653,-0.864706732359726,-0.5282880280725054,0.030961977000079403,4
sub-010,OTC,r,right,11540,-0.5208377101717145,0.1902117484176186,-0.1344153805763126,-0.3505123865189171,-0.4907503183781414,-0.3090129957184032,0.8429405667585931,3
sub-016,control,l,both,11340,-0.1879387929272644,-0.6131338997061261,-0.0558584745852448,-0.0886002791799444,-1.0054655882515733,0.0115158027523278,0.8322289916601492,5
sub-016,control,r,both,11540,-0.4007540125777821,-0.0941525393309047,-0.1977318648490038,-0.0163147775834082,-0.5478985093796528,-0.5809379788482834,0.8322289916601492,5
sub-018,control,l,both,11340,-0.3927766784591947,-0.7132197552294999,0.065920771556994,0.059736158975631,-0.8926962572253642,-0.0876092406471762,0.9607126815437416,4
sub-018,control,r,both,11540,-0.4479729298247927,-0.3387579372143371,0.124145199341994,0.0492448394156374,-0.997470250864692,-0.3274917920211525,0.9607126815437416,4
sub-021,OTC,r,right,11540,-0.4180968810506242,-0.2888055643427417,-0.0526254702974266,-0.2827458848436881,-0.6670931470033213,0.1113889165123581,0.6328680509660192,3
sub-022,control,l,both,11340,-0.3870823289731838,-0.5036379477232008,0.1932247546319219,-0.1683644980546124,-0.512539619946252,-0.3646626225265442,0.38719965500993303,3
sub-022,control,r,both,11540,-0.441727398651473,-0.0165882698048295,-0.1867746684922016,-0.2657330444607155,-0.1126318532623078,-0.7442499121290342,0.38719965500993303,3
