sub,ses_first,ses_last,Δ_face,Δ_house,Δ_object,Δ_word
sub-004,1,6,416.1295023432959,411.0967005163679,748.567932308326,94.29728445805412
sub-008,1,2,-831.4361694841169,-556.3701333344679,-696.0192213872406,-1.863271162654815
sub-010,2,3,-2.055094384654481,-210.00397986719645,-605.2918739796615,-6.965277738092485
sub-021,2,3,384.15491992972613,144.59005347372397,429.7451091136893,30.81383875047491
sub-079,1,2,-273.446945027821,-414.91969196975504,1021.5657519649305,10.459723288338264
sub-108,1,2,-396.79577873071963,-142.45845738367055,-846.1929560741726,-67.08689072791287
