hemi,analysis,level,ctrl,pt,diff,p,sd_ctrl,sd_pt,sd_ratio,n_ctrl,n_pt
l,diagonal,face,0.5563703129215859,0.5078816088526652,-0.048488704068920696,0.6040395960403959,0.2524557109182302,0.3177385959609731,1.2585914369110385,36,12
l,diagonal,house,0.5943986350859303,0.3463662391407514,-0.2480323959451789,0.015298470152984701,0.259606053613775,0.37576415319092227,1.4474398726847864,36,12
l,diagonal,object,0.6406438352558934,0.5184816873719427,-0.12216214788395074,0.14088591140885912,0.22357337156983478,0.28564476826826685,1.277633227349902,36,12
l,diagonal,word,0.6823840758340919,0.5184281239353576,-0.16395595189873424,0.030796920307969204,0.2022020010550358,0.2601623536340394,1.2866457912215608,36,12
r,diagonal,face,0.5563703129215859,0.553506568635634,-0.00286374428595193,0.9738026197380262,0.2524557109182302,0.24834376488869392,0.9837122083133697,36,12
r,diagonal,house,0.5943986350859303,0.48924398581144374,-0.10515464927448653,0.25947405259474055,0.259606053613775,0.3143477922990096,1.2108646463486397,36,12
r,diagonal,object,0.6406438352558934,0.63080402802937,-0.009839807226523445,0.8963103689631037,0.22357337156983478,0.2196738243078209,0.982558087152182,36,12
r,diagonal,word,0.6823840758340919,0.5940543362494177,-0.08832973958467416,0.2074792520747925,0.2022020010550358,0.221644655322841,1.0961546085912042,36,12
