subject_id,group,partition,category,threshold,li
sub-001,control,medial,house,2.5,0.02208149468800399
sub-001,control,medial,house,2.75,0.01049626207597982
sub-001,control,medial,house,3.0,0.016362140407497807
sub-001,control,medial,house,3.25,0.04268710463045146
sub-001,control,medial,house,3.5,0.01736125480044155
sub-001,control,medial,house,3.75,0.0030057491404156
sub-001,control,medial,house,4.0,-0.009442838796039134
sub-001,control,medial,house,4.25,0.000553312879668862
sub-001,control,medial,house,4.5,-0.013707642672780051
sub-001,control,medial,house,4.75,-0.010743744584235887
sub-001,control,medial,house,5.0,-0.01672104044265842
sub-001,control,whole,object,0.25,0.025503883655452288
sub-001,control,whole,object,0.5,0.02823168616867796
sub-001,control,whole,object,0.75,0.032414477169187314
sub-001,control,whole,object,1.0,0.035166542420373884
sub-001,control,whole,object,1.25,0.034458711525965094
sub-001,control,whole,object,1.5,0.04138247548136698
sub-001,control,whole,object,1.75,0.043985728619707884
sub-001,control,whole,object,2.0,0.06327289857893931
sub-001,control,whole,object,2.25,0.07303031840551782
sub-001,control,whole,object,2.5,0.09583786327452622
sub-001,control,whole,object,2.75,0.10735245603269324
sub-001,control,whole,object,3.0,0.11909110681700781
sub-001,control,whole,object,3.25,0.14947077779281034
sub-001,control,whole,object,3.5,0.1812666536432642
sub-001,control,whole,object,3.75,0.21398116662227668
sub-001,control,whole,object,4.0,0.2491024499610822
sub-001,control,whole,object,4.25,0.27658751444752533
sub-001,control,whole,object,4.5,0.2983932351470603
sub-001,control,whole,object,4.75,0.3132486075153514
sub-001,control,whole,object,5.0,0.38646467547965124
sub-001,control,lateral,object,0.25,0.02477518144105167
sub-001,control,lateral,object,0.5,0.03261761164253401
sub-001,control,lateral,object,0.75,0.03416933936482726
sub-001,control,lateral,object,1.0,0.03966576764115496
sub-001,control,lateral,object,1.25,0.041480493903897526
sub-001,control,lateral,object,1.5,0.05100137069706718
sub-001,control,lateral,object,1.75,0.05553699912228487
sub-001,control,lateral,object,2.0,0.0647333681933816
sub-001,control,lateral,object,2.25,0.0835806320444065
sub-001,control,lateral,object,2.5,0.10577932109924441
sub-001,control,lateral,object,2.75,0.11631770538326458
sub-001,control,lateral,object,3.0,0.13045582485062826
sub-001,control,lateral,object,3.25,0.14915775812937646
sub-001,control,lateral,object,3.5,0.18261533309631153
sub-001,control,lateral,object,3.75,0.20290480912756653
sub-001,control,lateral,object,4.0,0.22758970756887842
sub-001,control,lateral,object,4.25,0.25563880261451866
sub-001,control,lateral,object,4.5,0.27323628444625303
sub-001,control,lateral,object,4.75,0.29599549131336006
sub-001,control,lateral,object,5.0,0.36405419004071166
sub-001,control,medial,object,0.25,0.01495022997256763
sub-001,control,medial,object,0.5,0.02571524598558647
sub-001,control,medial,object,0.75,0.023490211977588063
sub-001,control,medial,object,1.0,0.020398930662011323
sub-001,control,medial,object,1.25,0.013328278730342915
sub-001,control,medial,object,1.5,0.02338835128552357
sub-001,control,medial,object,1.75,0.03577535702143658
sub-001,control,medial,object,2.0,0.05222029032293639
sub-001,control,medial,object,2.25,0.0704299353613031
sub-001,control,medial,object,2.5,0.06465178880418238
sub-001,control,medial,object,2.75,0.08328285806823478
sub-001,control,medial,object,3.0,0.08715778560859899
sub-001,control,medial,object,3.25,0.14406899460267478
sub-001,control,medial,object,3.5,0.19294176161433937
sub-001,control,medial,object,3.75,0.2825761992197808
sub-001,control,medial,object,4.0,0.4011140367910137
sub-001,control,medial,object,4.25,0.4260192180262302
sub-001,control,medial,object,4.5,0.4927465538909599
sub-001,control,medial,object,4.75,0.4982570186022261
sub-001,control,medial,object,5.0,0.6173260332041338
sub-001,control,whole,word,0.25,0.3614634423131902
sub-001,control,whole,word,0.5,0.387347005197053
sub-001,control,whole,word,0.75,0.4192117991202817
sub-001,control,whole,word,1.0,0.4849594581880887
sub-001,control,whole,word,1.25,0.5139321902622098
sub-001,control,whole,word,1.5,0.5465290477601957
sub-001,control,whole,word,1.75,0.5967134880243288
sub-001,control,whole,word,2.0,0.651164280672312
sub-001,control,whole,word,2.25,0.6974000185918934
sub-001,control,whole,word,2.5,0.7215092735983384
sub-001,control,whole,word,2.75,0.7483363617289995
sub-001,control,whole,word,3.0,0.7890753520493945
sub-001,control,whole,word,3.25,0.8009756144560811
sub-001,control,whole,word,3.5,0.818391303078225
sub-001,control,whole,word,3.75,0.8455355474418336
sub-001,control,whole,word,4.0,0.8738824768354744
sub-001,control,whole,word,4.25,0.886228852346256
sub-001,control,whole,word,4.5,0.8985929503698367
sub-001,control,whole,word,4.75,0.8900646044331648
sub-001,control,whole,word,5.0,0.9424371551711686
sub-001,control,lateral,word,0.25,0.4770020348737047
sub-001,control,lateral,word,0.5,0.5005795575705424
sub-001,control,lateral,word,0.75,0.5216210953478945
sub-001,control,lateral,word,1.0,0.5792181090188397
sub-001,control,lateral,word,1.25,0.6041657462197713
sub-001,control,lateral,word,1.5,0.6530764849739851
sub-001,control,lateral,word,1.75,0.7067976320025775
sub-001,control,lateral,word,2.0,0.7596457752041244
sub-001,control,lateral,word,2.25,0.801072976733025
sub-001,control,lateral,word,2.5,0.8121785488789496
sub-001,control,lateral,word,2.75,0.8188164624816209
sub-001,control,lateral,word,3.0,0.8296349724667909
sub-001,control,lateral,word,3.25,0.8175155418125878
sub-001,control,lateral,word,3.5,0.8432570905269331
sub-001,control,lateral,word,3.75,0.8499537202103844
sub-001,control,lateral,word,4.0,0.8642739740586615
sub-001,control,lateral,word,4.25,0.8802627519618679
sub-001,control,lateral,word,4.5,0.8823371033368221
sub-001,control,lateral,word,4.75,0.8921569875979672
sub-001,control,lateral,word,5.0,0.9294892726047953
sub-001,control,medial,word,0.25,0.16417488037159852
sub-001,control,medial,word,0.5,0.20175909388204974
sub-001,control,medial,word,0.75,0.20951527355889382
sub-001,control,medial,word,1.0,0.26055268993067804
sub-001,control,medial,word,1.25,0.30910883799078614
sub-001,control,medial,word,1.5,0.28363681285364534
sub-001,control,medial,word,1.75,0.2972218900059792
sub-001,control,medial,word,2.0,0.2990391671728042
sub-001,control,medial,word,2.25,0.34467872184668996
sub-001,control,medial,word,2.5,0.3710961813936866
sub-001,control,medial,word,2.75,0.38634228350232847
sub-001,control,medial,word,3.0,0.536231014630157
sub-001,control,medial,word,3.25,0.671928360762335
sub-001,control,medial,word,3.5,0.6732480664103896
sub-001,control,medial,word,3.75,0.8621837516334836
sub-001,control,medial,word,4.0,0.963375344624628
sub-001,control,medial,word,4.25,0.9748660011012953
sub-001,control,medial,word,4.5,1.0
sub-001,control,medial,word,4.75,1.0
sub-001,control,medial,word,5.0,1.0
sub-004,OTC,whole,face,0.25,-0.3978377449245699
sub-004,OTC,whole,face,0.5,-0.4493244251346282
sub-004,OTC,whole,face,0.75,-0.46959960126983336
sub-004,OTC,whole,face,1.0,-0.48882210991805336
sub-004,OTC,whole,face,1.25,-0.5157042972133749
sub-004,OTC,whole,face,1.5,-0.5135019698662743
sub-004,OTC,whole,face,1.75,-0.4615715500844608
sub-004,OTC,whole,face,2.0,-0.32797745367081454
sub-004,OTC,whole,face,2.25,-0.0368596178464266
sub-004,OTC,whole,face,2.5,0.3856398150176038
sub-004,OTC,whole,face,2.75,0.7487066431510876
sub-004,OTC,whole,face,3.0,1.0
sub-004,OTC,whole,face,3.25,1.0
sub-004,OTC,lateral,face,0.25,-0.4769464578440454
sub-004,OTC,lateral,face,0.5,-0.5250648507888097
sub-004,OTC,lateral,face,0.75,-0.5488305903266266
sub-004,OTC,lateral,face,1.0,-0.5901978533096807
sub-004,OTC,lateral,face,1.25,-0.6346783495178929
sub-004,OTC,lateral,face,1.5,-0.6703662229193943
sub-004,OTC,lateral,face,1.75,-0.6638416525664631
sub-004,OTC,lateral,face,2.0,-0.6227685709014671
sub-004,OTC,lateral,face,2.25,-0.4018466583936223
sub-004,OTC,lateral,face,2.5,-0.11145158109863992
