cat,hemi,label,nvox,ctrl,pt,tmean
face,l,"Lateral Occipital Cortex, superior division",4955,0.9002109899046173,0.7963486930921572,0.6238767990883107
face,l,"Lateral Occipital Cortex, inferior division",2044,1.0548954498578236,0.9085317957763096,1.0138390436537297
face,l,"Parahippocampal Gyrus, anterior division",588,0.3388930052630919,0.3826576093258222,-0.5267336732899172
face,l,"Parahippocampal Gyrus, posterior division",390,0.4432760303225753,0.4871594591097498,-0.45822525493149907
face,l,Lingual Gyrus,1526,0.9636705893707006,0.8964048674127221,0.46925380721815746
face,l,"Temporal Fusiform Cortex, anterior division",316,0.3275997097439417,0.3754072424195172,-0.5480965778969901
face,l,"Temporal Fusiform Cortex, posterior division",873,0.49230084274652547,0.4561354361823474,0.3257638346837228
face,l,Temporal Occipital Fusiform Cortex,648,0.6748089438515367,0.6438080685229916,0.35200250541567113
face,r,"Lateral Occipital Cortex, superior division",4824,0.9508372611724356,0.9261499525980845,0.18645954023922004
face,r,"Lateral Occipital Cortex, inferior division",2045,1.0939344463410274,1.012920382394448,0.6029253563006559
face,r,"Parahippocampal Gyrus, anterior division",660,0.36441884371637834,0.3627617307456417,0.013754921261164727
face,r,"Parahippocampal Gyrus, posterior division",320,0.42436748518207723,0.4239397158891052,-0.01835728109726915
face,r,Lingual Gyrus,1855,0.9941438372496928,0.9056411918616962,0.617668004597241
face,r,"Temporal Fusiform Cortex, anterior division",294,0.3725062532925773,0.29571081467395677,0.787086585042428
face,r,"Temporal Fusiform Cortex, posterior division",721,0.4674808648146115,0.4273799547178858,0.40377030984923046
face,r,Temporal Occipital Fusiform Cortex,821,0.6794653513611828,0.6696209252176871,0.0956293509177859
house,l,"Lateral Occipital Cortex, superior division",4955,0.8489057629686796,0.7297879667814681,0.7198970760067259
house,l,"Lateral Occipital Cortex, inferior division",2044,1.077051452227036,0.944943553830994,0.85187628112604
house,l,"Parahippocampal Gyrus, anterior division",588,0.34399551139320034,0.39551261394728854,-0.6207929890611539
house,l,"Parahippocampal Gyrus, posterior division",390,0.24606966893081517,0.3724916932983388,-1.1661637139220078
house,l,Lingual Gyrus,1526,0.877406340073582,0.8566408918379524,0.12162519858298373
house,l,"Temporal Fusiform Cortex, anterior division",316,0.3078870618762327,0.3746784860225249,-0.7352036115790045
house,l,"Temporal Fusiform Cortex, posterior division",873,0.43376660539803286,0.45166933206047793,-0.19206574179555097
house,l,Temporal Occipital Fusiform Cortex,648,0.6547021529361061,0.6458762530376461,0.1080652955616968
house,r,"Lateral Occipital Cortex, superior division",4824,0.8644130746483221,0.8681497826384258,0.009518425625356633
house,r,"Lateral Occipital Cortex, inferior division",2045,1.09766967132389,0.9947573906665355,0.7109061675031941
house,r,"Parahippocampal Gyrus, anterior division",660,0.3642779620275405,0.3047221831319297,0.6654443080927498
house,r,"Parahippocampal Gyrus, posterior division",320,0.20725997772378563,0.3345205500173132,-1.3088981207314645
house,r,Lingual Gyrus,1855,0.9020028162259205,0.8349684881947178,0.4009843070182392
house,r,"Temporal Fusiform Cortex, anterior division",294,0.42052465337935585,0.23923041480340787,1.8437356669075635
house,r,"Temporal Fusiform Cortex, posterior division",721,0.46054619174231337,0.41490928651371806,0.4846113400802471
house,r,Temporal Occipital Fusiform Cortex,821,0.6161386456894192,0.6006239994093203,0.0870973908710526
object,l,"Lateral Occipital Cortex, superior division",4955,0.9259428620032767,0.8670611828867613,0.367653952665408
object,l,"Lateral Occipital Cortex, inferior division",2044,1.075056907781378,0.975022645976938,0.6428818330963811
object,l,"Parahippocampal Gyrus, anterior division",588,0.35816219187958986,0.4037156590670707,-0.5065902433596507
object,l,"Parahippocampal Gyrus, posterior division",390,0.457782284492989,0.5462799958251837,-0.9063776814642971
object,l,Lingual Gyrus,1526,1.0062701022945995,0.9658064558012468,0.27226017084813614
object,l,"Temporal Fusiform Cortex, anterior division",316,0.3098474103378077,0.41791594580195546,-1.217207345171982
object,l,"Temporal Fusiform Cortex, posterior division",873,0.53140551189232,0.5459452911145332,-0.18053873599814155
object,l,Temporal Occipital Fusiform Cortex,648,0.8014510248093255,0.7930487492072645,0.06448981672184784
object,r,"Lateral Occipital Cortex, superior division",4824,0.9574585628145528,0.8958672047404389,0.46162859136446477
object,r,"Lateral Occipital Cortex, inferior division",2045,1.1298992748561285,1.071981002277882,0.40752068700423705
object,r,"Parahippocampal Gyrus, anterior division",660,0.39853885933512895,0.32465539487504125,0.8552003018752051
object,r,"Parahippocampal Gyrus, posterior division",320,0.45980625092632443,0.4575485067191077,-0.005074144650097878
object,r,Lingual Gyrus,1855,1.0233013888008482,0.9230099613927271,0.7365902936262407
object,r,"Temporal Fusiform Cortex, anterior division",294,0.4128627294644237,0.2585324467004645,1.7126362666386326
object,r,"Temporal Fusiform Cortex, posterior division",721,0.5489641749062786,0.4655235141457267,0.8710717317850385
object,r,Temporal Occipital Fusiform Cortex,821,0.797897402731191,0.7400693297953682,0.5113113104168951
word,l,"Lateral Occipital Cortex, superior division",4955,0.9096419466178935,0.7595010814698459,0.9326308383310696
word,l,"Lateral Occipital Cortex, inferior division",2044,1.0494926274684586,0.8780630367633124,1.1662443076035303
word,l,"Parahippocampal Gyrus, anterior division",588,0.3173299206408019,0.30717752780807367,0.1577627804301771
word,l,"Parahippocampal Gyrus, posterior division",390,0.4014893522167461,0.40443824033376713,-0.0367568834266888
word,l,Lingual Gyrus,1526,0.8756157368260593,0.7656171029900445,0.7774612822782445
word,l,"Temporal Fusiform Cortex, anterior division",316,0.3010923147049244,0.3153390493063114,-0.16776214486144223
word,l,"Temporal Fusiform Cortex, posterior division",873,0.4214263498112496,0.39087744466607255,0.27977552408094325
word,l,Temporal Occipital Fusiform Cortex,648,0.6008898090594029,0.5347659756376181,0.5425742893877876
word,r,"Lateral Occipital Cortex, superior division",4824,0.8374748951819377,0.8627343582475238,-0.1465629366498026
word,r,"Lateral Occipital Cortex, inferior division",2045,0.9978075227547518,0.988689013736905,0.08514656369338976
word,r,"Parahippocampal Gyrus, anterior division",660,0.29928448955155434,0.2870278549214792,0.14230382481195689
word,r,"Parahippocampal Gyrus, posterior division",320,0.25299232901697755,0.3729756707048902,-1.2137408778944518
word,r,Lingual Gyrus,1855,0.8376989143812208,0.7493770522773089,0.5418696477405652
word,r,"Temporal Fusiform Cortex, anterior division",294,0.31545380231738585,0.22160774585701426,0.9659751493477446
word,r,"Temporal Fusiform Cortex, posterior division",721,0.3205658378459295,0.3510014584196579,-0.13281451378969653
word,r,Temporal Occipital Fusiform Cortex,821,0.43254672766155466,0.5522721262188928,-0.8176323797113639
