hemi,analysis,level,ctrl,pt,diff,p,n_ctrl,n_pt,sd_ctrl,sd_pt,sd_ratio,p_sd
l,pair,face-house,-0.3728536258234463,-0.36307647621612305,0.009777149607323232,0.8294170582941706,38,13,,,,
l,pair,face-object,-0.3107529163507074,-0.19226335900390373,0.11848955734680366,0.09619038096190381,38,13,,,,
l,pair,face-word,0.014947816432311202,-0.09193582301346395,-0.10688363944577516,0.05749425057494251,38,13,,,,
l,pair,house-object,-0.16219081490757817,-0.1331787199830602,0.029012094924517978,0.5974402559744025,38,13,,,,
l,pair,house-word,-0.6733484451300316,-0.5901374115252938,0.0832110336047378,0.13308669133086692,38,13,,,,
l,pair,object-word,-0.20832560116485324,-0.33609319986026753,-0.1277675986954143,0.0314968503149685,38,13,,,,
l,heterogeneity,mean_r,0.6696385964133948,0.4035805951012952,-0.26605800131209967,9.999000099990002e-05,38,13,,,,
l,heterogeneity,boot_sd,0.11023715415652668,0.18198089377102963,0.07174373961450295,0.08409159084091591,38,13,,,,
l,per_category,face,-0.2228862419139475,-0.2157585527444969,0.007127689169450613,0.7617238276172382,38,13,0.07948825662142713,0.05731982566715307,0.7211106156239655,0.934906509349065
l,per_category,house,-0.40279762862035207,-0.3621308692414924,0.04066675937885966,0.0800919908009199,38,13,0.06504299418182707,0.08648764083838491,1.329699561440999,0.10728927107289271
l,per_category,object,-0.22708977747437964,-0.22051175961574382,0.006578017858635821,0.7881211878812119,38,13,0.0676941027546549,0.09622643843457858,1.4214892364159697,0.1257874212578742
l,per_category,word,-0.2889087432875246,-0.3393888114663417,-0.05048006817881712,0.031096890310968902,38,13,0.0487592073693063,0.11785510634221572,2.417084130379137,0.0341965803419658
l,cross_group,sub-004,0.7239796931001848,0.5806631338099592,0.1433165592902257,,38,13,,,,
l,cross_group,sub-005,0.7602334316632454,0.4500794866039455,0.31015394505929994,,38,13,,,,
l,cross_group,sub-008,0.3541843919925491,0.3885441513291346,-0.03435975933658553,,38,13,,,,
l,cross_group,sub-039,0.6878700977833553,0.5864376035813049,0.10143249420205036,,38,13,,,,
l,cross_group,sub-074,0.5165737954712233,0.3598770613933871,0.1566967340778362,,38,13,,,,
l,cross_group,sub-075,0.2062487584234639,0.12942510213664168,0.07682365628682222,,38,13,,,,
l,cross_group,sub-077,0.7907884528989532,0.5908380986501826,0.1999503542487706,,38,13,,,,
l,cross_group,sub-079,0.5606860014682912,0.5758110408245437,-0.015125039356252534,,38,13,,,,
l,cross_group,sub-089,0.3527433741749109,0.4607994444248554,-0.10805607024994446,,38,13,,,,
l,cross_group,sub-091,0.527517275204514,0.31744174153335597,0.210075533671158,,38,13,,,,
l,cross_group,sub-098,0.1856059118943061,0.32348801029435226,-0.13788209840004614,,38,13,,,,
l,cross_group,sub-101,0.32904443205619627,-0.056358275140097315,0.3854027071962936,,38,13,,,,
l,cross_group,sub-109,0.5991879169353315,0.5395011368752713,0.05968678006006012,,38,13,,,,
r,pair,face-house,-0.3372938809904711,-0.41033439853558007,-0.07304051754510898,0.12058794120587941,38,12,,,,
r,pair,face-object,-0.1170689208957716,-0.13986163855454414,-0.02279271765877254,0.7026297370262974,38,12,,,,
r,pair,face-word,-0.13257048974937627,-0.08123147008157437,0.0513390196678019,0.35106489351064896,38,12,,,,
r,pair,house-object,-0.09336626192194235,-0.1221595421364985,-0.028793280214556155,0.6296370362963704,38,12,,,,
r,pair,house-word,-0.6870157161269546,-0.5679666674503094,0.11904904867664512,0.0397960203979602,38,12,,,,
r,pair,object-word,-0.36685393373424213,-0.30174839541894477,0.06510553831529736,0.39536046395360464,38,12,,,,
r,heterogeneity,mean_r,0.5932394747472882,0.5325645332978733,-0.060674941449414876,0.20657934206579343,38,12,,,,
