Category,Metric,Ctrl M,Ctrl SD,OTC M,OTC SD,nonOTC M,nonOTC SD,OTC L-resec,OTC R-resec,p OTC v Ctrl,p OTC v nonOTC,p nonOTC v Ctrl
face,Peak Drift (mm),4.501992472684531,9.890331887461024,3.917648216139,4.104745346026797,,,1.8918789753397984,6.956302077337803,0.868,,
face,Mean Activation,4.712622945647941,1.2875651550065743,4.239436809455203,1.1822953955881284,5.084536787209487,0.7442539986290443,4.612620302962729,3.866253315947676,0.2227,0.021,0.29
face,Volume,1547.25,1093.5257795016919,1305.1875,1058.1776926238176,2112.222222222222,1358.7383649711392,1140.625,1469.75,0.4784,0.1015,0.2416
face,Sum Selectivity,492.9630427337424,429.66072426437484,415.60357488276077,338.2562831796202,675.2416845764297,434.4022482174847,386.32972095954466,444.87742880597676,0.5195,0.1031,0.2566
face,Delta Sum Selectivity,115.51992691831555,179.0692644641665,-61.33075732471408,516.7192214687242,,,36.21762683908355,-207.65333357041052,0.4195,,
face,Liu Distinctiveness,0.7098298614721826,0.38914128391079206,0.801208623513812,0.2880972894708678,0.659214162339071,0.23697045144803208,0.8541217836593088,0.7482954633683156,0.4088,0.1799,0.6515
face,Delta Liu Distinctiveness,-0.10792446951503591,0.4114308118917178,-0.21500676489017706,0.44191101523271614,,,0.03365234568681145,-0.5879954307556597,0.6275,,
face,Geometry Preservation,0.7438760291572288,0.30487204855022176,0.7245157536939669,0.28114112336323455,,,0.8714400732979238,0.5041292742880318,0.9006,,
face,MDS Shift,0.19066579198793746,0.1352252251851794,0.21960333372285318,0.21938770936450092,,,0.0658760768708889,0.4501942190007996,0.7754,,
face,RDM Distance,1.1413827891479056,0.4481990792112777,1.2075051607147897,0.793420203777641,,,,,0.8419,,
house,Peak Drift (mm),10.28884952040653,10.006960697671103,13.95768080514488,8.84540289399599,,,10.728326386529451,18.801712433068026,0.4384,,
house,Mean Activation,4.223055445197368,0.7386229637276632,3.958650017248061,0.8304044836610723,4.506355426607733,1.01202519470265,4.159749130770793,3.757550903725329,0.2879,0.1489,0.4265
house,Volume,4868.916666666667,2890.4529946866032,3421.3125,1877.4254612367438,4783.0,2946.707823996129,3327.25,3515.375,0.0464,0.1872,0.939
house,Sum Selectivity,624.9078763037293,407.2687216828618,463.9824629190586,319.7249587377357,707.227747101188,484.9669548993096,450.7962097986681,477.168716039449,0.1513,0.1563,0.64
house,Delta Sum Selectivity,274.1362081325626,296.0159927024777,-125.1214102362655,399.19847565226604,,,-160.11120612107584,-72.63671640905002,0.0287,,
house,Liu Distinctiveness,0.10701944222861833,0.8051031599895812,0.5519690701763575,0.6541213350190288,0.33380612679391486,0.5917446605903302,0.48179730605344917,0.6133693637839024,0.0541,0.3842,0.3578
house,Delta Liu Distinctiveness,-0.33737377099645754,0.9866300781346838,-0.4561649436174685,0.6670765842628188,,,-0.0047694761849101375,-1.1332581447663062,0.7804,,
house,Geometry Preservation,0.3994217610305957,0.5279820685959927,0.08031490034144304,0.48558701217111433,,,0.19045866229164812,-0.0849007425838646,0.2119,,
house,MDS Shift,0.2861263891224997,0.3071219164386377,0.36027387393010957,0.28568701354271836,,,0.18462525438951408,0.6237468032410028,0.624,,
house,RDM Distance,1.729912856972516,0.8330993760261289,2.1156143556864606,0.8402106668771918,,,,,0.3727,,
object,Peak Drift (mm),4.5457231820368476,4.032440771118579,6.429488950963959,6.140182468525709,,,3.670776581078755,10.567557505791765,0.5047,,
object,Mean Activation,4.737937305256932,0.8631897501978066,4.279617143388059,1.0288037466762754,4.926175335525937,0.9391637714255459,4.5403017700792905,4.018932516696827,0.1295,0.0939,0.5902
object,Volume,20816.0,7370.011609925373,12242.125,7229.331023684003,15837.333333333334,6384.513626737748,14576.125,9908.125,0.0001,0.1858,0.0405
object,Sum Selectivity,1942.0395082486937,865.5440098959591,1253.1397999759142,1039.0442679067678,1612.1054942957044,795.326650729294,1564.7048602898785,941.5747396619497,0.0254,0.3135,0.2729
object,Delta Sum Selectivity,-120.21897204287876,1289.7230046401255,179.71353960400876,787.0780808370406,,,282.0063290329861,26.274355460542722,0.5578,,
object,Liu Distinctiveness,1.0275574178364313,0.33192593336701587,1.1887663635246641,0.4308612740107461,1.2244006240974687,0.32033035685197847,1.3046080036408687,1.087404928422985,0.2125,0.8067,0.1061
object,Delta Liu Distinctiveness,0.1187311202713526,0.5470935663415137,-0.060934810524607676,0.6010757585640012,,,-0.002636310094849511,-0.14838256116924492,0.5467,,
object,Geometry Preservation,0.5309454959354785,0.39451191981340356,0.39588456860876853,0.31013165068521487,,,0.5090444237362416,0.22614478591755888,0.432,,
object,MDS Shift,0.09802838033370621,0.07503278524392244,0.10382229905345675,0.115386822850187,,,0.07026500314531108,0.1541582429156753,0.9172,,
object,RDM Distance,1.2006475198364577,0.7224728459129318,1.6161757376146824,0.3374687393512674,,,,,0.1141,,
word,Peak Drift (mm),5.759464864209937,5.904648193747139,11.468352636926118,4.1939379998263115,,,13.469799556539678,8.466182257505778,0.0221,,
word,Mean Activation,3.411630723872878,0.7468878773695952,3.0565718959652872,0.6687262398863557,3.095684100166832,0.25732593767443984,3.073069338029086,3.0400744539014886,0.1133,0.8276,0.0652
word,Volume,676.6666666666666,759.3608677935887,509.3125,642.9729614584634,377.77777777777777,178.76715146929104,680.5,338.125,0.4404,0.4317,0.0643
word,Sum Selectivity,164.2988175729563,203.54499936692335,117.73284603620363,152.93694036865585,74.98339686428876,36.98147392941361,158.57751011711028,76.88818195529691,0.4005,0.2699,0.0349
word,Delta Sum Selectivity,22.23396866406559,170.04854424890536,25.348459519224,41.20115653527734,,,11.436094766906896,46.217006647699655,0.9606,,
word,Liu Distinctiveness,0.5079065328660877,0.3595667236851187,0.7757800772032998,0.5050948770592053,0.7913514200546179,0.46971593881300516,0.7520378740333743,0.7961305370632358,0.0889,0.941,0.0882
word,Delta Liu Distinctiveness,0.20938955731453524,0.38078913967974987,-0.4842473560235533,0.764504103282471,,,-0.40964637433145445,-0.5588483377156521,0.0509,,
word,Geometry Preservation,0.7671144217482482,0.21534690168707457,0.5416632866874437,0.3738312187422403,,,0.7078794891688356,0.3754470842060518,0.2065,,
word,MDS Shift,0.20550495155917087,0.10863728134384429,0.2635642700313242,0.23019896279775165,,,0.16512515108263226,0.36200338898001616,0.5968,,
word,RDM Distance,1.2547914424986029,0.6047301003190251,1.6107697152526343,1.2132545628710234,,,,,0.5496,,
